Geneid,control_1,control_2,control_3,treated_1,treated_2,treated_3
4933401J01Rik,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0
Xkr4,0,0,0,0,0,0
Gm18956,0,0,0,0,0,0
Gm37180,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0
Gm7341,0,0,0,0,0,0
Gm38148,0,0,0,0,0,0
Gm19938,0,0,0,0,0,0
Gm10568,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0
Gm37381,0,0,0,0,0,0
Rp1,1,0,0,0,0,0
Gm6101,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0
Sox17,0,0,0,0,0,0
Gm37587,0,0,0,0,0,0
Gm7357,0,0,0,0,0,0
Gm22307,0,0,0,0,0,0
Gm38076,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0
Gm7369,0,0,0,0,0,0
Gm6085,0,0,0,0,0,0
Gm6119,0,0,0,0,0,0
U6,0,0,0,1,0,1
Gm2053,0,0,0,0,0,0
Gm6123,0,0,0,0,0,0
Mrpl15,57,54,58,64,61,60
Gm37144,0,0,0,1,1,0
Lypla1,107,96,76,83,76,89
Gm37988,1,0,1,0,0,0
Tcea1,110,108,94,87,87,97
Gm6104,0,0,0,1,0,0
Gm37277,0,0,0,0,0,0
Rgs20,0,0,0,0,0,0
Gm17100,0,0,0,0,0,0
Gm37079,0,0,0,0,0,0
Gm16041,0,0,0,0,0,0
Gm17101,0,0,0,0,0,0
Atp6v1h,111,100,124,118,98,108
Gm7182,0,0,0,0,0,0
Gm37567,0,0,0,0,0,0
Gm38264,0,0,0,0,0,0
Oprk1,0,0,0,0,0,0
Gm36965,0,0,0,0,0,0
ENSMUSG00002076544,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0
Gm19214,0,0,0,0,0,0
Rb1cc1,88,82,100,92,97,73
4732440D04Rik,3,2,3,2,1,2
Alkal1,0,0,0,0,0,0
Gm2147,0,0,0,0,0,0
Gm7417,0,0,0,0,0,0
Gm19026,0,0,0,0,0,0
St18,0,0,1,0,0,0
